traffic_volume_type,traffic_light,time_of_day,direction,weather,total_vehicles,car,person,truck,bicycle,bus,motorcycle,date,time
moderate,Yellow,night,East,Foggy,15,8,4,0,1,0,0,3/10/2024,15:10
moderate,Red,morning,West,Foggy,13,12,1,0,0,0,0,30-09-2024,21:05
moderate,Yellow,night,West,Snowy,18,13,4,0,0,1,0,2/10/2024,9:55
light,Green,afternoon,East,Snowy,8,7,0,1,0,0,0,16-10-2024,22:20
heavy,Red,morning,North,Snowy,20,14,1,0,2,3,0,30-09-2024,4:30
heavy,Red,morning,West,Snowy,20,14,4,1,0,1,0,1/10/2024,9:25
moderate,Yellow,night,East,Foggy,13,7,3,0,0,3,0,4/10/2024,19:45
heavy,Red,afternoon,East,Rainy,22,14,7,0,0,1,0,1/10/2024,2:15
moderate,Red,afternoon,North,Snowy,13,11,2,0,0,0,0,6/10/2024,4:45
moderate,Yellow,evening,North,Clear,16,12,2,0,0,2,0,4/10/2024,10:20
moderate,Yellow,evening,South,Clear,15,11,0,3,0,1,0,9/10/2024,7:40
heavy,Red,night,South,Foggy,20,18,0,1,0,1,0,13-10-2024,9:55
heavy,Red,morning,South,Rainy,20,12,5,0,0,3,0,2/10/2024,5:35
heavy,Red,afternoon,North,Clear,20,12,7,0,0,1,0,2/10/2024,9:50
heavy,Red,morning,North,Snowy,20,14,1,0,2,3,0,30-09-2024,4:30
moderate,Yellow,afternoon,South,Foggy,13,10,0,0,0,3,0,12/10/2024,21:15
moderate,Yellow,evening,South,Foggy,15,9,4,0,1,1,0,2/10/2024,6:10
moderate,Yellow,evening,West,Clear,19,15,0,4,0,0,0,9/10/2024,9:45
light,Green,evening,East,Foggy,8,7,0,0,0,1,0,18-10-2024,12:35
light,Green,morning,East,Rainy,4,4,0,0,0,0,0,14-10-2024,2:15
heavy,Red,evening,South,Clear,20,14,2,0,0,4,0,1/10/2024,10:30
moderate,Yellow,evening,East,Foggy,10,10,0,0,0,0,0,18-10-2024,12:55
moderate,Yellow,morning,West,Foggy,13,9,0,2,0,2,0,8/10/2024,21:10
moderate,Yellow,night,East,Snowy,13,9,1,0,0,3,0,4/10/2024,20:00
light,Green,morning,South,Snowy,3,2,0,1,0,0,0,14-10-2024,7:20
heavy,Red,night,South,Snowy,20,14,1,2,0,3,0,5/10/2024,1:30
moderate,Yellow,morning,South,Snowy,17,17,0,0,0,0,0,9/10/2024,7:05
moderate,Yellow,morning,North,Foggy,19,18,0,1,0,0,0,11/10/2024,18:15
moderate,Red,night,East,Snowy,17,11,2,0,0,3,0,2/10/2024,4:30
moderate,Yellow,morning,East,Snowy,17,12,4,0,0,1,0,4/10/2024,16:05
moderate,Red,evening,South,Foggy,14,10,3,0,0,1,0,2/10/2024,8:45
moderate,Yellow,evening,East,Foggy,13,9,3,0,0,1,0,4/10/2024,16:15
heavy,Red,evening,North,Rainy,20,16,4,0,0,0,0,30-09-2024,13:20
moderate,Yellow,night,South,Foggy,18,15,0,2,0,1,0,11/10/2024,2:35
heavy,Red,morning,South,Snowy,20,16,3,0,0,1,0,1/10/2024,6:10
moderate,Yellow,night,West,Clear,11,10,0,0,0,1,0,6/10/2024,9:15
light,Green,morning,North,Snowy,5,4,0,0,0,1,0,6/10/2024,20:55
moderate,Yellow,night,North,Snowy,18,15,1,2,0,0,0,5/10/2024,12:45
moderate,Yellow,night,East,Snowy,14,11,0,2,0,1,0,11/10/2024,11:40
light,Green,evening,South,Clear,7,6,0,0,0,1,0,17-10-2024,8:10
light,Green,afternoon,South,Rainy,7,5,1,0,0,0,1,13-10-2024,3:15
light,Green,evening,East,Foggy,8,8,0,0,0,0,0,19-10-2024,6:15
moderate,Yellow,night,East,Foggy,19,18,0,1,0,0,0,11/10/2024,1:25
light,Green,night,South,Foggy,7,6,0,0,0,1,0,19-10-2024,20:55
light,Red,afternoon,North,Clear,8,5,2,0,0,1,0,17-10-2024,1:00
moderate,Yellow,evening,West,Foggy,14,10,1,2,0,0,0,5/10/2024,12:05
light,Red,night,North,Foggy,5,4,0,0,0,1,0,6/10/2024,14:10
light,Green,night,North,Snowy,7,7,0,0,0,0,0,10/10/2024,3:55
moderate,Yellow,morning,East,Rainy,16,15,0,1,0,0,0,5/10/2024,4:05
light,Green,evening,West,Clear,6,6,0,0,0,0,0,10/10/2024,5:05
light,Green,afternoon,East,Clear,3,3,0,0,0,0,0,14-10-2024,15:55
moderate,Yellow,morning,South,Foggy,15,14,0,1,0,0,0,13-10-2024,15:40
light,Green,night,North,Foggy,7,3,2,1,0,1,0,12/10/2024,11:25
moderate,Yellow,afternoon,North,Snowy,12,9,1,0,0,2,0,6/10/2024,10:25
light,Green,evening,North,Rainy,8,8,0,0,0,0,0,14-10-2024,2:40
moderate,Yellow,evening,South,Snowy,18,11,6,0,0,1,0,1/10/2024,8:30
light,Green,afternoon,East,Foggy,6,3,1,1,0,1,0,7/10/2024,6:30
moderate,Red,afternoon,West,Rainy,17,13,2,0,0,2,0,2/10/2024,5:15
moderate,Yellow,afternoon,North,Rainy,12,10,0,2,0,0,0,18-10-2024,6:55
moderate,Yellow,morning,East,Rainy,18,14,4,0,0,0,0,30-09-2024,13:25
heavy,Red,morning,North,Snowy,21,18,1,1,0,1,0,13-10-2024,10:35
moderate,Red,evening,South,Foggy,14,10,3,0,0,1,0,2/10/2024,8:45
heavy,Red,afternoon,West,Clear,20,16,3,0,0,1,0,2/10/2024,7:05
heavy,Red,morning,West,Snowy,22,13,4,0,1,4,0,30-09-2024,4:00
light,Green,morning,North,Foggy,7,7,0,0,0,0,0,18-10-2024,9:10
heavy,Red,afternoon,North,Snowy,21,15,4,0,0,2,0,1/10/2024,7:00
light,Green,morning,West,Rainy,3,2,1,0,0,0,0,16-10-2024,0:20
light,Green,afternoon,East,Foggy,9,7,1,1,0,0,0,2/10/2024,11:25
moderate,Yellow,night,North,Snowy,13,6,6,0,0,0,0,3/10/2024,15:05
moderate,Yellow,evening,West,Snowy,10,9,0,1,0,0,0,18-10-2024,2:10
light,Green,night,West,Clear,6,6,0,0,0,0,0,19-10-2024,21:45
moderate,Yellow,afternoon,East,Rainy,18,10,3,0,1,4,0,30-09-2024,4:05
light,Green,night,South,Snowy,5,5,0,0,0,0,0,10/10/2024,2:25
moderate,Yellow,morning,West,Clear,19,16,2,0,0,1,0,13-10-2024,10:20
moderate,Yellow,morning,West,Rainy,14,12,0,2,0,0,0,5/10/2024,13:20
moderate,Yellow,morning,South,Rainy,10,10,0,0,0,0,0,6/10/2024,8:50
moderate,Yellow,evening,South,Clear,11,10,0,1,0,0,0,18-10-2024,11:45
moderate,Yellow,morning,East,Rainy,15,7,2,1,0,4,0,12/10/2024,19:45
light,Green,night,East,Clear,6,6,0,0,0,0,0,15-10-2024,0:10
light,Green,morning,North,Snowy,4,3,0,1,0,0,0,10/10/2024,12:20
light,Green,night,South,Snowy,5,5,0,0,0,0,0,12/10/2024,22:45
light,Green,evening,North,Snowy,5,4,1,0,0,0,0,7/10/2024,10:40
moderate,Red,morning,North,Snowy,16,13,3,0,0,0,0,2/10/2024,0:10
heavy,Red,afternoon,West,Rainy,21,15,3,1,0,2,0,1/10/2024,9:40
light,Green,evening,North,Rainy,5,3,0,1,0,1,0,10/10/2024,13:55
heavy,Red,evening,North,Rainy,20,16,4,0,0,0,0,30-09-2024,13:20
heavy,Red,afternoon,West,Snowy,20,11,7,0,0,2,0,2/10/2024,6:20
moderate,Yellow,morning,West,Snowy,10,8,2,0,0,0,0,13-10-2024,8:40
heavy,Red,afternoon,East,Rainy,22,14,7,0,0,1,0,1/10/2024,2:15
moderate,Red,evening,East,Clear,14,11,1,0,1,1,0,30-09-2024,8:00
moderate,Red,morning,South,Snowy,16,13,2,0,0,1,0,2/10/2024,8:40
heavy,Red,evening,South,Clear,20,14,2,0,0,4,0,1/10/2024,10:30
moderate,Yellow,evening,East,Snowy,12,10,0,2,0,0,0,16-10-2024,12:55
heavy,Red,afternoon,West,Clear,20,11,8,0,0,1,0,1/10/2024,1:15
moderate,Yellow,afternoon,North,Clear,19,17,1,1,0,0,0,13-10-2024,11:15
light,Green,afternoon,North,Rainy,6,5,1,0,0,0,0,4/10/2024,1:10
light,Green,night,North,Rainy,7,6,1,0,0,0,0,12/10/2024,5:05
heavy,Red,afternoon,West,Clear,20,11,8,0,0,1,0,1/10/2024,1:15
light,Green,evening,West,Foggy,1,1,0,0,0,0,0,10/10/2024,12:55
light,Green,evening,South,Clear,6,5,1,0,0,0,0,12/10/2024,13:45
moderate,Red,morning,South,Snowy,14,11,0,0,1,2,0,30-09-2024,6:40
light,Red,morning,North,Clear,8,6,2,0,0,0,0,7/10/2024,7:20
light,Green,evening,North,Snowy,8,5,2,0,1,0,0,7/10/2024,8:40
moderate,Yellow,evening,South,Foggy,10,10,0,0,0,0,0,12/10/2024,3:10
light,Green,morning,East,Clear,9,6,2,0,0,0,1,7/10/2024,0:20
moderate,Yellow,evening,South,Clear,13,9,1,0,0,3,0,30-09-2024,18:45
heavy,Red,evening,North,Clear,20,17,1,2,0,0,0,5/10/2024,12:10
moderate,Yellow,morning,West,Foggy,15,12,0,1,0,2,0,9/10/2024,8:20
moderate,Yellow,morning,West,Foggy,16,14,0,2,0,0,0,5/10/2024,12:50
heavy,Red,morning,North,Foggy,20,14,5,0,0,1,0,1/10/2024,2:10
moderate,Red,morning,South,Snowy,14,11,0,0,1,2,0,30-09-2024,6:40
light,Green,afternoon,East,Clear,8,6,1,0,0,1,0,4/10/2024,12:15
light,Green,night,West,Snowy,8,7,0,0,0,1,0,3/10/2024,2:50
light,Green,morning,West,Snowy,4,4,0,0,0,0,0,10/10/2024,7:35
heavy,Red,night,South,Snowy,23,15,6,0,0,2,0,2/10/2024,6:00
light,Green,evening,East,Rainy,3,2,0,0,0,1,0,7/10/2024,15:05
light,Green,evening,East,Foggy,4,4,0,0,0,0,0,9/10/2024,20:10
moderate,Yellow,evening,South,Clear,12,9,0,0,0,3,0,17-10-2024,7:55
moderate,Yellow,afternoon,North,Clear,11,6,2,0,0,1,0,3/10/2024,19:15
heavy,Red,morning,South,Foggy,21,14,5,0,0,2,0,2/10/2024,10:15
light,Green,morning,East,Snowy,6,6,0,0,0,0,0,16-10-2024,19:55
moderate,Yellow,morning,South,Rainy,17,11,4,0,0,1,0,1/10/2024,16:25
moderate,Green,morning,South,Snowy,15,12,2,0,0,1,0,1/10/2024,14:45
heavy,Red,night,North,Foggy,20,13,4,0,0,3,0,1/10/2024,9:10
heavy,Red,morning,North,Snowy,21,18,1,1,0,1,0,13-10-2024,10:35
moderate,Yellow,night,North,Clear,13,11,0,0,1,1,0,30-09-2024,4:40
heavy,Red,evening,West,Clear,20,15,0,4,0,1,0,9/10/2024,11:40
light,Green,evening,North,Clear,6,6,0,0,0,0,0,14-10-2024,20:15
moderate,Yellow,evening,South,Snowy,18,11,6,0,0,1,0,1/10/2024,8:30
heavy,Red,morning,West,Clear,21,18,0,1,0,2,0,11/10/2024,18:20
moderate,Yellow,night,West,Clear,10,10,0,0,0,0,0,13-10-2024,20:20
moderate,Red,morning,South,Rainy,14,10,4,0,0,0,0,1/10/2024,23:35
light,Green,evening,South,Clear,1,1,0,0,0,0,0,15-10-2024,8:45
moderate,Yellow,night,West,Snowy,10,9,0,0,0,1,0,5/10/2024,22:55
heavy,Red,night,South,Snowy,20,14,1,2,0,3,0,5/10/2024,1:30
heavy,Red,afternoon,South,Clear,21,19,1,0,0,1,0,13-10-2024,11:00
light,Green,morning,South,Snowy,8,7,1,0,0,0,0,4/10/2024,0:25
light,Green,morning,East,Rainy,2,2,0,0,0,0,0,13-10-2024,22:25
light,Green,evening,South,Snowy,1,1,0,0,0,0,0,14-10-2024,7:10
moderate,Red,morning,North,Foggy,11,8,0,3,0,0,0,16-10-2024,12:45
light,Green,night,West,Snowy,9,7,1,0,0,0,0,3/10/2024,20:50
heavy,Red,morning,North,Snowy,20,14,1,0,2,3,0,30-09-2024,4:30
light,Green,evening,North,Snowy,6,6,0,0,0,0,0,7/10/2024,4:15
heavy,Red,night,South,Snowy,23,15,6,0,0,2,0,2/10/2024,6:00
moderate,Yellow,morning,South,Foggy,13,13,0,0,0,0,0,10/10/2024,23:55
light,Green,morning,East,Clear,2,2,0,0,0,0,0,13-10-2024,23:20
light,Green,night,West,Foggy,9,5,2,2,0,0,0,7/10/2024,9:45
light,Green,morning,North,Rainy,7,6,0,0,0,1,0,19-10-2024,11:00
light,Green,night,East,Rainy,8,3,2,1,0,2,0,7/10/2024,20:25
heavy,Red,night,East,Foggy,21,16,4,0,0,1,0,1/10/2024,4:50
heavy,Red,afternoon,North,Snowy,21,15,4,0,0,2,0,1/10/2024,7:00
moderate,Yellow,evening,West,Snowy,18,14,0,2,0,2,0,5/10/2024,1:35
heavy,Red,night,West,Rainy,22,15,5,0,0,2,0,1/10/2024,6:55
moderate,Red,night,East,Snowy,12,10,1,1,0,0,0,30-09-2024,21:40
light,Green,morning,East,Foggy,5,2,3,0,0,0,0,12/10/2024,10:00
light,Green,afternoon,North,Rainy,5,5,0,0,0,0,0,15-10-2024,2:05
light,Green,evening,West,Clear,4,3,0,0,0,1,0,14-10-2024,9:40
moderate,Red,afternoon,West,Snowy,15,9,5,0,0,1,0,2/10/2024,8:55
moderate,Red,morning,North,Snowy,10,9,1,0,0,0,0,6/10/2024,4:35
light,Green,morning,North,Snowy,6,6,0,0,0,0,0,10/10/2024,6:15
moderate,Yellow,morning,South,Foggy,14,11,0,3,0,0,0,9/10/2024,10:35
moderate,Yellow,morning,North,Snowy,11,8,0,1,0,0,0,3/10/2024,20:30
heavy,Red,afternoon,East,Rainy,21,19,0,1,0,1,0,13-10-2024,10:00
light,Green,night,North,Clear,4,3,0,0,0,1,0,19-10-2024,18:25
light,Green,afternoon,North,Foggy,8,8,0,0,0,0,0,5/10/2024,15:40
moderate,Yellow,night,South,Foggy,13,10,0,0,0,3,0,4/10/2024,19:00
light,Green,night,West,Foggy,8,8,0,0,0,0,0,18-10-2024,8:10
light,Green,afternoon,South,Snowy,7,5,0,0,0,2,0,10/10/2024,0:40
moderate,Yellow,evening,South,Foggy,14,11,1,0,0,2,0,30-09-2024,15:00
light,Green,afternoon,North,Foggy,4,3,1,0,0,0,0,4/10/2024,15:20
light,Green,afternoon,West,Clear,4,4,0,0,0,0,0,15-10-2024,11:10
moderate,Red,evening,North,Clear,14,11,0,0,1,2,0,30-09-2024,6:45
heavy,Red,evening,South,Snowy,21,16,3,2,0,0,0,30-09-2024,3:20
moderate,Yellow,night,South,Clear,13,12,0,0,0,1,0,13-10-2024,16:50
moderate,Red,morning,South,Snowy,14,11,0,0,1,2,0,30-09-2024,6:40
light,Green,morning,West,Clear,6,6,0,0,0,0,0,16-10-2024,20:00
moderate,Yellow,afternoon,South,Foggy,12,10,2,0,0,0,0,6/10/2024,8:25
light,Green,night,East,Rainy,5,5,0,0,0,0,0,14-10-2024,19:55
light,Green,afternoon,North,Foggy,6,5,0,0,0,1,0,4/10/2024,4:05
moderate,Yellow,night,South,Rainy,19,14,3,2,0,0,0,30-09-2024,3:15
moderate,Yellow,morning,West,Clear,15,9,3,1,0,2,0,30-09-2024,19:15
moderate,Yellow,morning,West,Clear,11,9,1,0,0,1,0,30-09-2024,14:40
heavy,Red,afternoon,West,Rainy,20,18,1,0,0,1,0,13-10-2024,10:45
light,Green,morning,North,Snowy,7,7,0,0,0,0,0,14-10-2024,20:10
heavy,Red,afternoon,South,Clear,21,19,1,0,0,1,0,13-10-2024,11:00
moderate,Red,afternoon,South,Snowy,12,10,0,0,1,1,0,30-09-2024,6:55
moderate,Yellow,morning,East,Rainy,14,12,0,0,0,2,0,4/10/2024,22:25
moderate,Yellow,afternoon,South,Snowy,13,10,0,1,1,1,0,30-09-2024,4:45
moderate,Yellow,afternoon,South,Clear,17,14,0,3,0,0,0,9/10/2024,7:30
light,Green,evening,West,Rainy,7,6,0,0,0,1,0,14-10-2024,13:25
moderate,Yellow,evening,East,Rainy,15,15,0,0,0,0,0,11/10/2024,15:55
heavy,Red,morning,West,Foggy,20,16,3,1,0,0,0,30-09-2024,0:05
heavy,Red,night,South,Snowy,23,15,6,0,0,2,0,2/10/2024,6:00
light,Green,afternoon,West,Rainy,3,2,1,0,0,0,0,15-10-2024,21:50
light,Green,afternoon,North,Rainy,9,8,1,0,0,0,0,12/10/2024,6:35
moderate,Yellow,night,West,Clear,14,13,0,1,0,0,0,11/10/2024,4:55
heavy,Red,morning,East,Snowy,20,14,4,0,0,2,0,2/10/2024,10:05
moderate,Yellow,afternoon,North,Clear,13,12,0,0,0,1,0,13-10-2024,18:20
heavy,Red,afternoon,East,Rainy,22,14,7,0,0,1,0,1/10/2024,2:15
heavy,Red,evening,West,Snowy,20,18,1,0,0,1,0,13-10-2024,10:25
moderate,Red,afternoon,South,Rainy,11,9,2,0,0,0,0,30-09-2024,23:55
light,Green,afternoon,South,Snowy,5,3,0,1,0,1,0,9/10/2024,15:00
light,Green,night,South,Rainy,5,4,1,0,0,0,0,15-10-2024,6:35
heavy,Red,evening,South,Rainy,21,14,6,0,0,1,0,1/10/2024,7:30
heavy,Red,night,South,Clear,20,12,7,0,0,1,0,2/10/2024,10:35
moderate,Yellow,morning,East,Snowy,12,10,1,1,0,0,0,13-10-2024,2:40
light,Green,morning,West,Clear,5,3,0,2,0,0,0,7/10/2024,14:35
heavy,Red,morning,East,Clear,20,16,3,1,0,0,0,30-09-2024,0:00
moderate,Yellow,morning,South,Clear,14,12,0,1,0,1,0,11/10/2024,11:45
light,Green,night,West,Snowy,6,4,0,0,0,1,0,12/10/2024,15:15
moderate,Yellow,afternoon,North,Rainy,12,9,1,2,0,0,0,5/10/2024,11:30
heavy,Red,night,West,Rainy,22,15,5,0,0,2,0,1/10/2024,6:55
light,Green,afternoon,North,Foggy,6,6,0,0,0,0,0,4/10/2024,0:10
moderate,Red,night,East,Snowy,15,10,3,1,0,1,0,30-09-2024,21:35
moderate,Yellow,evening,South,Snowy,12,9,1,0,0,2,0,2/10/2024,6:55
light,Green,evening,East,Clear,8,6,2,0,0,0,0,6/10/2024,3:50
heavy,Red,morning,North,Snowy,21,18,1,1,0,1,0,13-10-2024,10:35
light,Green,night,North,Snowy,7,6,1,0,0,0,0,9/10/2024,20:35
heavy,Red,afternoon,North,Snowy,21,15,4,0,0,2,0,1/10/2024,7:00
light,Green,afternoon,North,Snowy,3,2,0,1,0,0,0,10/10/2024,1:20
moderate,Yellow,evening,South,Snowy,12,9,1,0,0,2,0,2/10/2024,6:55
heavy,Red,evening,North,Clear,20,17,1,2,0,0,0,5/10/2024,12:10
moderate,Yellow,night,South,Foggy,14,13,0,1,0,0,0,9/10/2024,7:10
light,Green,afternoon,East,Foggy,4,1,1,1,0,1,0,2/10/2024,16:45
moderate,Yellow,afternoon,South,Clear,15,13,2,0,0,0,0,30-09-2024,10:25
moderate,Yellow,evening,West,Rainy,12,12,0,0,0,0,0,11/10/2024,12:45
light,Green,evening,East,Foggy,5,2,1,0,0,2,0,12/10/2024,18:45
heavy,Red,afternoon,West,Clear,20,16,3,0,0,1,0,2/10/2024,7:05
moderate,Yellow,afternoon,East,Rainy,10,9,1,0,0,0,0,5/10/2024,23:15
moderate,Yellow,afternoon,South,Foggy,18,13,2,0,0,3,0,1/10/2024,6:50
heavy,Red,afternoon,East,Rainy,22,14,7,0,0,1,0,1/10/2024,2:15
heavy,Red,night,South,Snowy,20,14,1,2,0,3,0,5/10/2024,1:30
heavy,Red,morning,South,Snowy,20,16,3,0,0,1,0,1/10/2024,6:10
heavy,Red,afternoon,South,Clear,21,19,1,0,0,1,0,13-10-2024,11:00
heavy,Red,evening,West,Clear,20,15,0,4,0,1,0,9/10/2024,11:40
light,Green,morning,East,Rainy,4,4,0,0,0,0,0,15-10-2024,20:50
moderate,Yellow,afternoon,East,Clear,14,12,0,0,0,2,0,4/10/2024,22:05
moderate,Yellow,night,West,Snowy,11,8,2,0,0,1,0,30-09-2024,17:30
heavy,Red,evening,East,Foggy,23,21,1,0,0,1,0,13-10-2024,10:10
heavy,Red,morning,North,Foggy,20,14,5,0,0,1,0,1/10/2024,2:10
light,Green,night,South,Clear,2,2,0,0,0,0,0,15-10-2024,21:20
heavy,Red,morning,South,Foggy,21,14,5,0,0,2,0,2/10/2024,10:15
light,Green,morning,North,Snowy,8,4,0,3,0,1,0,9/10/2024,22:30
heavy,Red,night,South,Foggy,20,18,0,1,0,1,0,13-10-2024,9:55
light,Green,afternoon,West,Foggy,5,5,0,0,0,0,0,10/10/2024,21:30
light,Green,morning,North,Foggy,9,9,0,0,0,0,0,19-10-2024,2:30
moderate,Red,night,South,Rainy,14,11,0,0,1,2,0,30-09-2024,6:50
light,Green,evening,West,Clear,9,8,0,0,0,1,0,14-10-2024,9:55
light,Green,afternoon,East,Clear,7,6,0,0,0,1,0,4/10/2024,12:10
light,Green,evening,North,Foggy,2,2,0,0,0,0,0,10/10/2024,18:30
moderate,Yellow,morning,North,Clear,11,9,1,0,0,1,0,2/10/2024,19:55
heavy,Red,night,South,Snowy,20,12,6,0,0,2,0,1/10/2024,0:40
light,Green,evening,West,Rainy,5,5,0,0,0,0,0,18-10-2024,11:35
light,Green,morning,South,Rainy,8,4,3,1,0,0,0,2/10/2024,22:25
light,Green,evening,North,Clear,5,5,0,0,0,0,0,14-10-2024,1:25
heavy,Red,evening,South,Clear,20,14,2,0,0,4,0,1/10/2024,10:30
moderate,Yellow,night,East,Rainy,17,13,2,0,0,2,0,2/10/2024,3:00
heavy,Red,evening,North,Snowy,21,13,5,0,1,2,0,1/10/2024,20:10
light,Green,night,North,Clear,7,7,0,0,0,0,0,16-10-2024,4:50
light,Green,morning,North,Foggy,4,4,0,0,0,0,0,9/10/2024,18:50
moderate,Yellow,afternoon,South,Foggy,18,13,2,0,0,3,0,1/10/2024,6:50
light,Red,night,North,Rainy,6,4,1,1,0,0,0,7/10/2024,7:30
light,Green,morning,North,Rainy,8,5,2,0,0,1,0,7/10/2024,16:25
light,Green,afternoon,East,Rainy,9,6,2,0,0,0,0,3/10/2024,15:50
light,Green,evening,North,Foggy,6,6,0,0,0,0,0,19-10-2024,13:35
light,Green,evening,West,Foggy,5,3,0,0,0,2,0,7/10/2024,12:30
light,Green,evening,North,Snowy,7,7,0,0,0,0,0,17-10-2024,18:40
moderate,Red,evening,South,Foggy,13,10,2,0,0,1,0,30-09-2024,16:35
light,Green,morning,North,Clear,3,3,0,0,0,0,0,15-10-2024,8:40
moderate,Yellow,afternoon,West,Clear,11,10,0,1,0,0,0,15-10-2024,3:15
moderate,Yellow,evening,East,Clear,13,10,3,0,0,0,0,30-09-2024,12:25
moderate,Yellow,afternoon,East,Rainy,18,17,0,1,0,0,0,11/10/2024,1:45
heavy,Red,night,East,Snowy,21,15,4,0,0,2,0,30-09-2024,3:55
moderate,Red,morning,West,Clear,13,10,2,0,0,1,0,30-09-2024,16:00
moderate,Yellow,evening,South,Foggy,12,8,1,1,0,0,0,3/10/2024,17:15
moderate,Red,evening,West,Clear,13,11,1,0,0,1,0,6/10/2024,13:05
heavy,Red,afternoon,North,Clear,20,12,7,0,0,1,0,2/10/2024,9:50
light,Green,morning,East,Foggy,8,8,0,0,0,0,0,19-10-2024,10:55
moderate,Red,afternoon,West,Foggy,18,16,1,0,1,0,0,30-09-2024,0:45
heavy,Red,morning,East,Rainy,20,13,6,0,0,1,0,1/10/2024,3:05
moderate,Yellow,afternoon,East,Foggy,16,12,2,0,0,2,0,4/10/2024,18:00
light,Green,evening,East,Clear,2,2,0,0,0,0,0,15-10-2024,9:05
light,Green,morning,North,Snowy,4,4,0,0,0,0,0,15-10-2024,7:40
heavy,Red,afternoon,North,Snowy,21,15,4,0,0,2,0,1/10/2024,7:00
heavy,Red,night,East,Snowy,21,15,4,0,0,2,0,30-09-2024,3:55
light,Yellow,night,West,Foggy,9,7,0,0,0,0,0,3/10/2024,13:40
light,Green,afternoon,North,Snowy,5,5,0,0,0,0,0,14-10-2024,9:05
heavy,Red,afternoon,West,Clear,20,16,3,0,0,1,0,2/10/2024,7:05
light,Red,night,North,Rainy,4,3,0,0,0,1,0,17-10-2024,1:05
light,Green,night,South,Snowy,8,8,0,0,0,0,0,12/10/2024,4:45
light,Red,morning,South,Snowy,5,3,0,0,0,2,0,17-10-2024,1:40
moderate,Yellow,evening,East,Snowy,14,13,0,1,0,0,0,13-10-2024,18:05
heavy,Red,morning,East,Snowy,20,14,4,0,0,2,0,2/10/2024,10:05
moderate,Yellow,night,West,Foggy,13,12,0,0,0,1,0,13-10-2024,17:15
heavy,Red,evening,North,Snowy,21,13,5,0,1,2,0,1/10/2024,20:10
moderate,Red,night,South,Foggy,13,11,2,0,0,0,0,30-09-2024,23:50
light,Green,evening,East,Clear,4,3,1,0,0,0,0,15-10-2024,11:55
heavy,Red,night,South,Foggy,20,18,0,1,0,1,0,13-10-2024,9:55
moderate,Yellow,night,North,Rainy,13,13,0,0,0,0,0,19-10-2024,14:20
heavy,Red,night,East,Snowy,21,12,6,0,0,3,0,2/10/2024,9:20
heavy,Red,morning,North,Foggy,20,13,6,0,0,1,0,1/10/2024,1:45
light,Red,morning,West,Rainy,3,3,0,0,0,0,0,7/10/2024,7:40
light,Green,morning,West,Clear,4,4,0,0,0,0,0,10/10/2024,3:20
light,Green,night,North,Clear,9,8,0,0,0,1,0,13-10-2024,7:20
heavy,Red,morning,North,Snowy,21,18,1,1,0,1,0,13-10-2024,10:35
light,Green,afternoon,North,Snowy,4,4,0,0,0,0,0,10/10/2024,9:30
light,Green,night,West,Foggy,5,5,0,0,0,0,0,15-10-2024,16:00
heavy,Red,night,South,Clear,20,13,6,0,0,1,0,1/10/2024,1:40
moderate,Yellow,morning,West,Foggy,11,11,0,0,0,0,0,11/10/2024,20:30
heavy,Red,night,South,Foggy,20,18,0,1,0,1,0,13-10-2024,9:55
light,Green,evening,East,Rainy,9,9,0,0,0,0,0,17-10-2024,23:55
light,Green,night,South,Snowy,8,8,0,0,0,0,0,9/10/2024,13:40
moderate,Yellow,night,North,Snowy,11,11,0,0,0,0,0,5/10/2024,8:40
moderate,Yellow,morning,North,Foggy,10,10,0,0,0,0,0,14-10-2024,11:35
moderate,Red,afternoon,West,Rainy,17,13,2,0,0,2,0,2/10/2024,5:15
moderate,Yellow,afternoon,South,Clear,10,10,0,0,0,0,0,15-10-2024,0:45
light,Green,morning,North,Clear,8,7,0,1,0,0,0,12/10/2024,22:40
light,Green,morning,West,Foggy,6,5,0,0,0,1,0,17-10-2024,2:10
heavy,Red,night,East,Foggy,21,16,4,0,0,1,0,1/10/2024,4:50
moderate,Red,night,West,Snowy,12,9,0,3,0,0,0,16-10-2024,12:35
light,Red,night,West,Foggy,8,7,0,0,0,1,0,19-10-2024,21:15
moderate,Red,evening,East,Rainy,13,10,2,0,0,1,0,30-09-2024,16:10
moderate,Yellow,afternoon,East,Foggy,14,8,3,0,0,3,0,4/10/2024,18:35
light,Green,afternoon,West,Clear,5,4,0,0,0,1,0,10/10/2024,0:25
light,Green,night,North,Clear,1,0,1,0,0,0,0,4/10/2024,7:50
heavy,Red,afternoon,West,Rainy,20,18,1,0,0,1,0,13-10-2024,10:45
light,Green,morning,North,Snowy,9,6,2,1,0,0,0,2/10/2024,14:50
heavy,Red,afternoon,West,Rainy,20,18,1,0,0,1,0,13-10-2024,10:45
moderate,Yellow,night,South,Foggy,13,13,0,0,0,0,0,5/10/2024,4:50
moderate,Red,evening,South,Foggy,13,10,2,0,0,1,0,30-09-2024,16:35
moderate,Yellow,morning,North,Rainy,13,10,1,0,1,1,0,30-09-2024,9:20
heavy,Red,evening,West,Clear,20,15,0,4,0,1,0,9/10/2024,11:40
heavy,Red,afternoon,West,Snowy,20,11,7,0,0,2,0,2/10/2024,6:20
